N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
59,현대글로비스,"179,000",500,+0.28%,500,"67,125","37,500",42.75,"83,572",9.65,12.45,
60,SKC,"160,000","4,500",+2.89%,"5,000","60,589","37,868",16.78,"128,648",32.59,2.21,
61,현대제철,"45,000",750,+1.69%,"5,000","60,051","133,446",20.43,"378,089",6.89,-2.59,
62,LG유플러스,"13,650",100,+0.74%,"5,000","59,597","436,611",35.42,"418,577",15.18,6.46,
63,CJ제일제당,"383,500",0,0.00%,"5,000","57,733","15,054",22.46,"22,175",13.08,13.50,
64,에스디바이오센서,"55,000","1,000",-1.79%,500,"56,799","103,271",7.31,"222,412",8.34,139.97,
65,KODEX 200,"39,870",590,+1.50%,0,"56,436","141,550",9.30,"1,445,328",N/A,N/A,
66,맥쿼리인프라,"13,850",50,+0.36%,0,"56,071","404,846",13.60,"292,081",N/A,N/A,
67,코웨이,"75,500","1,700",+2.30%,500,"55,719","73,800",60.53,"89,930",12.50,31.51,
68,미래에셋증권,"8,640",160,+1.89%,"5,000","54,891","635,316",12.68,"782,402",5.91,8.94,
69,메리츠화재,"45,200","1,400",+3.20%,500,"54,522","120,625",10.85,"346,947",9.38,16.91,
70,강원랜드,"24,650",50,+0.20%,500,"52,736","213,940",18.81,"210,834",-160.06,-7.92,
71,일진머티리얼즈,"113,000","4,500",+4.15%,500,"52,105","46,111",12.97,"172,982",82.00,7.23,
72,금호석유,"169,500","4,000",+2.42%,"5,000","51,351","30,296",18.89,"83,873",3.03,20.18,
73,삼성중공업,"5,780",90,-1.53%,"1,000","50,864","880,000",14.42,"2,695,313",-2.36,-33.06,
74,현대건설,"44,800",0,0.00%,"5,000","49,887","111,356",22.07,"427,371",29.79,1.84,
75,한국타이어앤테크놀로지,"39,800",800,+2.05%,500,"49,302","123,875",41.38,"112,679",7.46,5.12,
76,삼성엔지니어링,"24,500",250,+1.03%,"5,000","48,020","196,000",35.50,"777,867",13.56,17.32,
77,DB손해보험,"64,400",500,+0.78%,500,"45,595","70,800",42.81,"98,773",5.72,9.08,
78,한국금융지주,"81,700","3,100",+3.94%,"5,000","45,528","55,726",34.43,"162,569",2.80,16.27,
79,유한양행,"62,100",700,+1.14%,"1,000","43,453","69,973",16.97,"239,810",47.08,11.06,
80,두산밥캣,"42,800",700,+1.66%,500,"42,907","100,249",25.13,"48,563",11.71,6.15,
81,현대중공업지주,"54,300",600,+1.12%,"1,000","42,893","78,993",16.49,"76,343",-12.59,-8.12,
82,오리온,"105,500",500,+0.48%,500,"41,711","39,536",37.35,"16,295",17.54,15.50,
83,이마트,"147,500","1,000",+0.68%,"5,000","41,117","27,876",33.46,"49,031",2.97,4.05,
84,메리츠증권,"5,990",200,+3.45%,"1,000","40,836","681,731",13.14,"1,649,101",6.08,13.08,
85,쌍용C&E,"7,990",50,-0.62%,100,"40,258","503,860",3.40,"382,841",19.54,7.92,
86,한진칼,"58,200",800,+1.39%,"2,500","38,842","66,739",14.49,"26,198",-66.29,-19.55,
87,삼성증권,"42,900",750,+1.78%,"5,000","38,310","89,300",29.20,"208,859",4.04,9.89,
88,현대차2우B,"102,500","1,000",+0.99%,"5,000","37,398","36,485",61.94,"35,135",5.19,N/A,
89,GS,"40,050",350,+0.88%,"5,000","37,213","92,915",18.71,"163,262",3.63,-2.82,
90,GS건설,"43,250",600,-1.37%,"5,000","37,014","85,581",25.78,"460,238",10.53,7.68,
91,DB하이텍,"82,200","4,200",+5.38%,"5,000","36,496","44,399",24.22,"2,234,356",17.17,23.07,
92,삼성카드,"31,500",50,+0.16%,"5,000","36,496","115,859",7.08,"39,181",7.77,5.69,
93,현대오토에버,"130,000",500,+0.39%,500,"35,651","27,424",2.23,"69,723",47.19,11.09,
94,NH투자증권,"11,950",50,+0.42%,"5,000","35,496","297,034",17.37,"407,302",4.39,10.32,
95,한국가스공사,"37,700",400,+1.07%,"5,000","34,802","92,313",10.51,"87,318",7.83,-2.24,
96,아모레G,"42,150",950,+2.31%,500,"34,756","82,458",15.91,"110,136",23.67,0.31,
97,한미사이언스,"51,200",600,+1.19%,500,"34,460","67,305",1.15,"32,429",64.89,3.47,
98,KCC,"377,500","7,500",+2.03%,"5,000","33,546","8,886",12.17,"51,064",4.76,12.79,
99,한국항공우주,"33,950",50,+0.15%,"5,000","33,093","97,475",13.07,"359,561",230.95,6.39,
100,현대미포조선,"81,300",100,+0.12%,"5,000","32,473","39,942",11.51,"267,774",-21.12,-0.84,
101,한미약품,"269,000","5,000",+1.89%,"2,500","32,491","12,078",13.28,"12,725",42.85,1.65,
102,TIGER 차이나전기차SOLACTIVE,"16,390",375,+2.34%,0,"32,124","196,000",0.09,"3,232,046",N/A,N/A,
103,한화시스템,"17,000",200,+1.19%,"5,000","32,116","188,919",2.10,"284,962",20.61,9.35,
104,한솔케미칼,"276,000","7,000",+2.60%,"5,000","31,285","11,335",42.81,"25,181",21.53,24.50,
105,GS리테일,"29,650",500,+1.72%,"1,000","31,049","104,718",8.14,"87,032",2.99,7.50,
106,한전기술,"80,000","2,400",+3.09%,200,"30,576","38,220",1.42,"324,021",300.75,N/A,
107,롯데지주,"29,100",400,+1.39%,200,"30,529","104,909",7.75,"65,669",15.16,-3.03,
108,팬오션,"5,670",110,+1.98%,"1,000","30,310","534,570",11.37,"1,040,795",9.74,3.25,
109,동서,"30,000",150,-0.50%,500,"29,910","99,700",2.84,"48,678",28.17,8.61,
110,호텔신라,"76,000","1,400",+1.88%,"5,000","29,829","39,248",12.75,"162,380",-29.17,-36.74,
111,CJ대한통운,"127,500","1,500",+1.19%,"5,000","29,086","22,812",21.23,"11,260",98.76,3.89,
112,만도,"61,600",600,+0.98%,"1,000","28,926","46,957",20.95,"163,247",12.98,0.37,
113,한화생명,"3,300",20,-0.60%,"5,000","28,661","868,530",8.06,"3,049,449",3.75,1.90,
114,포스코인터내셔널,"23,200",700,+3.11%,"5,000","28,623","123,375",7.05,"534,635",9.38,7.69,
115,BNK금융지주,"8,780",20,-0.23%,"5,000","28,617","325,935",39.46,"693,870",3.51,6.11,
116,에스원,"72,900",100,+0.14%,500,"27,701","37,999",52.98,"21,716",18.23,10.48,
117,두산퓨얼셀,"41,850",50,+0.12%,100,"27,409","65,494",14.23,"292,927",837.00,4.18,
118,SK케미칼,"153,500","6,500",+4.42%,"5,000","27,048","17,621",16.67,"134,009",73.16,30.49,
119,키움증권,"102,500","1,500",+1.49%,"5,000","26,875","26,220",25.61,"30,246",2.95,27.63,
120,대우조선해양,"24,850",300,-1.19%,"5,000","26,662","107,291",5.46,"316,343",-1.80,2.27,
121,씨에스윈드,"62,200","1,400",+2.30%,500,"26,231","42,171",11.10,"59,700",56.44,8.19,
122,LG화학우,"339,500","17,000",+5.27%,"5,000","26,103","7,689",70.49,"24,351",8.85,N/A,
123,제일기획,"22,500",200,+0.90%,200,"25,884","115,041",31.90,"84,222",13.26,16.11,
124,한화에어로스페이스,"50,800",600,+1.20%,"5,000","25,720","50,630",16.56,"142,546",9.22,4.78,
125,대우건설,"6,070",90,-1.46%,"5,000","25,228","415,623",11.18,"1,389,463",5.16,11.06,
126,OCI,"104,000","1,000",+0.97%,"5,000","24,803","23,849",15.67,"115,942",12.40,-9.89,
127,DL이앤씨,"128,000","2,000",-1.54%,"5,000","24,779","19,359",25.74,"150,141",N/A,N/A,
128,롯데쇼핑,"87,100","1,800",+2.11%,"5,000","24,640","28,289",11.11,"43,640",-9.26,-7.70,
129,솔루스첨단소재,"80,500","3,900",+5.09%,100,"24,625","30,590",7.76,"236,101",-316.93,-5.10,
130,녹십자,"210,000","3,000",+1.45%,"5,000","24,542","11,687",22.74,"15,212",28.45,7.48,
131,현대차우,"99,900","1,000",+1.01%,"5,000","24,332","24,357",57.76,"22,609",5.06,N/A,
132,효성첨단소재,"543,000","12,000",+2.26%,"5,000","24,326","4,480",10.27,"19,144",11.33,0.03,
133,신세계,"246,000","7,000",+2.93%,"5,000","24,219","9,845",23.97,"67,661",9.25,-2.81,
134,BGF리테일,"138,000",500,+0.36%,"1,000","23,852","17,284",32.40,"14,099",17.27,18.60,
135,CJ,"81,700","1,400",+1.74%,"5,000","23,838","29,177",17.00,"21,414",70.80,1.89,
136,효성티앤씨,"548,000","2,000",+0.37%,"5,000","23,716","4,328",17.09,"49,347",3.36,25.10,
137,현대해상,"26,500",150,+0.57%,500,"23,691","89,400",25.65,"328,144",6.19,7.13,
138,한화,"31,500",550,+1.78%,"5,000","23,612","74,959",15.95,"125,029",5.33,4.79,
139,현대로템,"21,550",0,0.00%,"5,000","23,520","109,142",3.78,"374,028",75.09,2.84,
140,KODEX MSCI Korea TR,"12,860",160,+1.26%,0,"22,466","174,700",3.26,"326,359",N/A,N/A,
141,후성,"23,850","1,950",+8.90%,500,"22,087","92,607",7.40,"3,465,638",80.30,2.79,
